diagnosis_date,case_count,district,disease_name
2023-03-23,0,Alappuzha,Amoebic Meningoencephalitis
2023-03-24,0,Alappuzha,Amoebic Meningoencephalitis
2023-03-25,0,Alappuzha,Amoebic Meningoencephalitis
2023-03-26,0,Alappuzha,Amoebic Meningoencephalitis
2023-03-27,0,Alappuzha,Amoebic Meningoencephalitis
2023-03-28,0,Alappuzha,Amoebic Meningoencephalitis
2023-03-29,0,Alappuzha,Amoebic Meningoencephalitis
2023-03-30,0,Alappuzha,Amoebic Meningoencephalitis
2023-03-31,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-01,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-02,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-03,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-04,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-05,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-06,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-07,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-08,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-09,1,Alappuzha,Amoebic Meningoencephalitis
2023-04-10,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-11,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-12,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-13,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-14,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-15,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-16,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-17,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-18,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-19,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-20,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-21,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-22,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-23,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-24,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-25,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-26,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-27,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-28,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-29,0,Alappuzha,Amoebic Meningoencephalitis
2023-04-30,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-01,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-02,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-03,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-04,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-05,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-06,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-07,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-08,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-09,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-10,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-11,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-12,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-13,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-14,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-15,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-16,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-17,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-18,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-19,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-20,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-21,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-22,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-23,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-24,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-25,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-26,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-27,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-28,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-29,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-30,0,Alappuzha,Amoebic Meningoencephalitis
2023-05-31,1,Alappuzha,Amoebic Meningoencephalitis
2023-06-01,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-02,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-03,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-04,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-05,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-06,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-07,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-08,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-09,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-10,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-11,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-12,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-13,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-14,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-15,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-16,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-17,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-18,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-19,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-20,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-21,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-22,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-23,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-24,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-25,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-26,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-27,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-28,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-29,0,Alappuzha,Amoebic Meningoencephalitis
2023-06-30,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-01,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-02,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-03,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-04,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-05,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-06,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-07,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-08,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-09,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-10,1,Alappuzha,Amoebic Meningoencephalitis
2023-07-11,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-12,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-13,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-14,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-15,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-16,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-17,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-18,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-19,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-20,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-21,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-22,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-23,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-24,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-25,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-26,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-27,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-28,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-29,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-30,0,Alappuzha,Amoebic Meningoencephalitis
2023-07-31,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-01,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-02,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-03,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-04,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-05,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-06,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-07,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-08,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-09,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-10,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-11,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-12,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-13,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-14,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-15,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-16,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-17,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-18,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-19,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-20,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-21,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-22,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-23,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-24,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-25,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-26,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-27,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-28,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-29,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-30,0,Alappuzha,Amoebic Meningoencephalitis
2023-08-31,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-01,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-02,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-03,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-04,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-05,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-06,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-07,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-08,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-09,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-10,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-11,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-12,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-13,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-14,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-15,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-16,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-17,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-18,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-19,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-20,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-21,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-22,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-23,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-24,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-25,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-26,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-27,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-28,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-29,0,Alappuzha,Amoebic Meningoencephalitis
2023-09-30,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-01,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-02,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-03,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-04,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-05,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-06,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-07,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-08,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-09,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-10,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-11,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-12,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-13,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-14,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-15,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-16,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-17,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-18,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-19,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-20,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-21,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-22,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-23,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-24,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-25,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-26,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-27,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-28,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-29,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-30,0,Alappuzha,Amoebic Meningoencephalitis
2023-10-31,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-01,1,Alappuzha,Amoebic Meningoencephalitis
2023-11-02,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-03,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-04,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-05,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-06,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-07,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-08,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-09,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-10,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-11,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-12,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-13,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-14,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-15,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-16,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-17,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-18,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-19,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-20,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-21,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-22,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-23,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-24,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-25,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-26,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-27,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-28,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-29,0,Alappuzha,Amoebic Meningoencephalitis
2023-11-30,0,Alappuzha,Amoebic Meningoencephalitis
2023-12-01,0,Alappuzha,Amoebic Meningoencephalitis
2023-12-02,0,Alappuzha,Amoebic Meningoencephalitis
2023-12-03,0,Alappuzha,Amoebic Meningoencephalitis
2023-12-04,0,Alappuzha,Amoebic Meningoencephalitis
2023-12-05,0,Alappuzha,Amoebic Meningoencephalitis
2023-12-06,0,Alappuzha,Amoebic Meningoencephalitis
2023-12-07,0,Alappuzha,Amoebic Meningoencephalitis
2023-12-08,0,Alappuzha,Amoebic Meningoencephalitis
2023-12-09,0,Alappuzha,Amoebic Meningoencephalitis
2023-12-10,0,Alappuzha,Amoebic Meningoencephalitis
2023-12-11,0,Alappuzha,Amoebic Meningoencephalitis
2023-12-12,0,Alappuzha,Amoebic Meningoencephalitis
2023-12-13,0,Alappuzha,Amoebic Meningoencephalitis
2023-12-14,0,Alappuzha,Amoebic Meningoencephalitis
2023-12-15,0,Alappuzha,Amoebic Meningoencephalitis
2023-12-16,0,Alappuzha,Amoebic Meningoencephalitis
2023-12-17,0,Alappuzha,Amoebic Meningoencephalitis
2023-12-18,0,Alappuzha,Amoebic Meningoencephalitis
2023-12-19,0,Alappuzha,Amoebic Meningoencephalitis
2023-12-20,0,Alappuzha,Amoebic Meningoencephalitis
2023-12-21,0,Alappuzha,Amoebic Meningoencephalitis
2023-12-22,0,Alappuzha,Amoebic Meningoencephalitis
2023-12-23,0,Alappuzha,Amoebic Meningoencephalitis
2023-12-24,1,Alappuzha,Amoebic Meningoencephalitis
2023-03-05,1,Alappuzha,Chicken Pox
2023-03-06,0,Alappuzha,Chicken Pox
2023-03-07,0,Alappuzha,Chicken Pox
2023-03-08,0,Alappuzha,Chicken Pox
2023-03-09,0,Alappuzha,Chicken Pox
2023-03-10,0,Alappuzha,Chicken Pox
2023-03-11,0,Alappuzha,Chicken Pox
2023-03-12,0,Alappuzha,Chicken Pox
2023-03-13,0,Alappuzha,Chicken Pox
2023-03-14,0,Alappuzha,Chicken Pox
2023-03-15,0,Alappuzha,Chicken Pox
2023-03-16,0,Alappuzha,Chicken Pox
2023-03-17,0,Alappuzha,Chicken Pox
2023-03-18,0,Alappuzha,Chicken Pox
2023-03-19,0,Alappuzha,Chicken Pox
2023-03-20,0,Alappuzha,Chicken Pox
2023-03-21,0,Alappuzha,Chicken Pox
2023-03-22,0,Alappuzha,Chicken Pox
2023-03-23,0,Alappuzha,Chicken Pox
2023-03-24,0,Alappuzha,Chicken Pox
2023-03-25,0,Alappuzha,Chicken Pox
2023-03-26,0,Alappuzha,Chicken Pox
2023-03-27,0,Alappuzha,Chicken Pox
2023-03-28,0,Alappuzha,Chicken Pox
2023-03-29,0,Alappuzha,Chicken Pox
2023-03-30,0,Alappuzha,Chicken Pox
2023-03-31,0,Alappuzha,Chicken Pox
2023-04-01,0,Alappuzha,Chicken Pox
2023-04-02,0,Alappuzha,Chicken Pox
2023-04-03,0,Alappuzha,Chicken Pox
2023-04-04,0,Alappuzha,Chicken Pox
2023-04-05,0,Alappuzha,Chicken Pox
2023-04-06,0,Alappuzha,Chicken Pox
2023-04-07,0,Alappuzha,Chicken Pox
2023-04-08,0,Alappuzha,Chicken Pox
2023-04-09,0,Alappuzha,Chicken Pox
2023-04-10,0,Alappuzha,Chicken Pox
2023-04-11,0,Alappuzha,Chicken Pox
2023-04-12,0,Alappuzha,Chicken Pox
2023-04-13,0,Alappuzha,Chicken Pox
2023-04-14,0,Alappuzha,Chicken Pox
2023-04-15,0,Alappuzha,Chicken Pox
2023-04-16,0,Alappuzha,Chicken Pox
2023-04-17,0,Alappuzha,Chicken Pox
2023-04-18,0,Alappuzha,Chicken Pox
2023-04-19,0,Alappuzha,Chicken Pox
2023-04-20,0,Alappuzha,Chicken Pox
2023-04-21,0,Alappuzha,Chicken Pox
2023-04-22,0,Alappuzha,Chicken Pox
2023-04-23,0,Alappuzha,Chicken Pox
2023-04-24,0,Alappuzha,Chicken Pox
2023-04-25,0,Alappuzha,Chicken Pox
2023-04-26,0,Alappuzha,Chicken Pox
2023-04-27,0,Alappuzha,Chicken Pox
2023-04-28,0,Alappuzha,Chicken Pox
2023-04-29,0,Alappuzha,Chicken Pox
2023-04-30,0,Alappuzha,Chicken Pox
2023-05-01,0,Alappuzha,Chicken Pox
2023-05-02,0,Alappuzha,Chicken Pox
2023-05-03,0,Alappuzha,Chicken Pox
2023-05-04,0,Alappuzha,Chicken Pox
2023-05-05,0,Alappuzha,Chicken Pox
2023-05-06,0,Alappuzha,Chicken Pox
2023-05-07,0,Alappuzha,Chicken Pox
2023-05-08,0,Alappuzha,Chicken Pox
2023-05-09,0,Alappuzha,Chicken Pox
2023-05-10,0,Alappuzha,Chicken Pox
2023-05-11,0,Alappuzha,Chicken Pox
2023-05-12,0,Alappuzha,Chicken Pox
2023-05-13,0,Alappuzha,Chicken Pox
2023-05-14,0,Alappuzha,Chicken Pox
2023-05-15,0,Alappuzha,Chicken Pox
2023-05-16,0,Alappuzha,Chicken Pox
2023-05-17,0,Alappuzha,Chicken Pox
2023-05-18,0,Alappuzha,Chicken Pox
2023-05-19,0,Alappuzha,Chicken Pox
2023-05-20,0,Alappuzha,Chicken Pox
2023-05-21,0,Alappuzha,Chicken Pox
2023-05-22,0,Alappuzha,Chicken Pox
2023-05-23,0,Alappuzha,Chicken Pox
2023-05-24,0,Alappuzha,Chicken Pox
2023-05-25,0,Alappuzha,Chicken Pox
2023-05-26,0,Alappuzha,Chicken Pox
2023-05-27,0,Alappuzha,Chicken Pox
2023-05-28,0,Alappuzha,Chicken Pox
2023-05-29,0,Alappuzha,Chicken Pox
2023-05-30,0,Alappuzha,Chicken Pox
2023-05-31,0,Alappuzha,Chicken Pox
2023-06-01,0,Alappuzha,Chicken Pox
2023-06-02,0,Alappuzha,Chicken Pox
2023-06-03,0,Alappuzha,Chicken Pox
2023-06-04,0,Alappuzha,Chicken Pox
2023-06-05,0,Alappuzha,Chicken Pox
2023-06-06,0,Alappuzha,Chicken Pox
2023-06-07,0,Alappuzha,Chicken Pox
2023-06-08,0,Alappuzha,Chicken Pox
2023-06-09,0,Alappuzha,Chicken Pox
2023-06-10,1,Alappuzha,Chicken Pox
2023-06-11,0,Alappuzha,Chicken Pox
2023-06-12,0,Alappuzha,Chicken Pox
2023-06-13,1,Alappuzha,Chicken Pox
2023-06-14,0,Alappuzha,Chicken Pox
2023-06-15,0,Alappuzha,Chicken Pox
2023-06-16,0,Alappuzha,Chicken Pox
2023-06-17,0,Alappuzha,Chicken Pox
2023-06-18,0,Alappuzha,Chicken Pox
2023-06-19,0,Alappuzha,Chicken Pox
2023-06-20,0,Alappuzha,Chicken Pox
2023-06-21,0,Alappuzha,Chicken Pox
2023-06-22,0,Alappuzha,Chicken Pox
2023-06-23,0,Alappuzha,Chicken Pox
2023-06-24,0,Alappuzha,Chicken Pox
2023-06-25,0,Alappuzha,Chicken Pox
2023-06-26,0,Alappuzha,Chicken Pox
2023-06-27,0,Alappuzha,Chicken Pox
2023-06-28,0,Alappuzha,Chicken Pox
2023-06-29,0,Alappuzha,Chicken Pox
2023-06-30,0,Alappuzha,Chicken Pox
2023-07-01,0,Alappuzha,Chicken Pox
2023-07-02,0,Alappuzha,Chicken Pox
2023-07-03,0,Alappuzha,Chicken Pox
2023-07-04,0,Alappuzha,Chicken Pox
2023-07-05,0,Alappuzha,Chicken Pox
2023-07-06,0,Alappuzha,Chicken Pox
2023-07-07,0,Alappuzha,Chicken Pox
2023-07-08,0,Alappuzha,Chicken Pox
2023-07-09,0,Alappuzha,Chicken Pox
2023-07-10,0,Alappuzha,Chicken Pox
2023-07-11,0,Alappuzha,Chicken Pox
2023-07-12,0,Alappuzha,Chicken Pox
2023-07-13,0,Alappuzha,Chicken Pox
2023-07-14,0,Alappuzha,Chicken Pox
2023-07-15,0,Alappuzha,Chicken Pox
2023-07-16,0,Alappuzha,Chicken Pox
2023-07-17,0,Alappuzha,Chicken Pox
2023-07-18,0,Alappuzha,Chicken Pox
2023-07-19,0,Alappuzha,Chicken Pox
2023-07-20,0,Alappuzha,Chicken Pox
2023-07-21,0,Alappuzha,Chicken Pox
2023-07-22,0,Alappuzha,Chicken Pox
2023-07-23,0,Alappuzha,Chicken Pox
2023-07-24,0,Alappuzha,Chicken Pox
2023-07-25,0,Alappuzha,Chicken Pox
2023-07-26,0,Alappuzha,Chicken Pox
2023-07-27,0,Alappuzha,Chicken Pox
2023-07-28,0,Alappuzha,Chicken Pox
2023-07-29,0,Alappuzha,Chicken Pox
2023-07-30,0,Alappuzha,Chicken Pox
2023-07-31,0,Alappuzha,Chicken Pox
2023-08-01,0,Alappuzha,Chicken Pox
2023-08-02,0,Alappuzha,Chicken Pox
2023-08-03,0,Alappuzha,Chicken Pox
2023-08-04,0,Alappuzha,Chicken Pox
2023-08-05,0,Alappuzha,Chicken Pox
2023-08-06,0,Alappuzha,Chicken Pox
2023-08-07,0,Alappuzha,Chicken Pox
